"PDB","Virus","Variant","Domain","Antibody","Receptor/Other","Resolution","Release Date","Reference"
"7kne","SARS-CoV-2","Orig","full","","ACE2","3.85","2020-12-16","33271067"
"7dk3","SARS-CoV-2","Orig","full","","null","6.0","2020-12-16","33277323"
"7df4","SARS-CoV-2","Orig","full","","ACE2","3.8","2020-12-16","33277323"
"7df3","SARS-CoV-2","Orig","full","null","null","2.7","2020-12-16","33277323"
"7cwu","SARS-CoV-2","Orig","full","P17, FC05","null","3.5","2020-12-16","33262454"
"7cws","SARS-CoV-2","Orig","full","FC05, H014","null","3.4","2020-12-16","33262454"
"7cwo","SARS-CoV-2","Orig","full","P17","null","3.9","2020-12-16","33262452"
"7cwn","SARS-CoV-2","Orig","full","P17, H014","null","3.2","2020-12-16","33262452"
"7cwm","SARS-CoV-2","Orig","full","P17","null","3.6","2020-12-16","33262452"
"7cab","SARS-CoV-2","none","full","null","null","3.52","2020-12-16","32703908"
"7b3o","SARS-CoV-2","Orig","RBD","STE90-C11","null","2.0","2020-12-16","34273271"
"7knb","SARS-CoV-2","Orig","full","","ACE2","3.93","2020-12-09","33271067"
"7kmz","SARS-CoV-2","Orig","full","","ACE2","3.62","2020-12-09","33271067"
"7kms","SARS-CoV-2","Orig","full","","ACE2","3.64","2020-12-09","33271067"
"7kmb","SARS-CoV-2","Orig","full","","ACE2","3.39","2020-12-09","33271067"
"7kfy","SARS-CoV-2","Orig","RBD","C1A-F10","null","2.16","2020-12-02","33200128"
"7kfx","SARS-CoV-2","Orig","RBD","C1A-C2","null","2.23","2020-12-02","33200128"
"7kfw","SARS-CoV-2","Orig","RBD","C1A-B3","null","2.79","2020-12-02","33200128"
"7kfv","SARS-CoV-2","Orig","RBD","C1A-B12","null","2.1","2020-12-02","33200128"
"7jvb","SARS-CoV-2","Orig","RBD","Nb20","null","3.29","2020-12-02","33154108"
"7dk7","SARS-CoV-2","Orig","full","2H2","null","9.7","2020-12-02","33431876"
"7dk6","SARS-CoV-2","Orig","full","2H2","null","4.3","2020-12-02","33431876"
"7dk5","SARS-CoV-2","Orig","full","2H2","null","13.5","2020-12-02","33431876"
"7dk4","SARS-CoV-2","Orig","full","2H2","null","3.8","2020-12-02","33431876"
"7dd8","SARS-CoV-2","Orig","full","3C1","null","7.5","2020-12-02","33431876"
"7dd2","SARS-CoV-2","Orig","full","3C1","null","5.6","2020-12-02","33431876"
"7dcx","SARS-CoV-2","Orig","full","3C1","null","5.9","2020-12-02","33431876"
"7dcc","SARS-CoV-2","Orig","full","3C1","null","4.3","2020-12-02","33431876"
"7jwy","SARS-CoV-2","Orig","full","null","null","2.5","2020-11-25","32637958"
"7ddn","SARS-CoV-2","Orig","full","null","null","6.3","2020-11-25","33431876"
"7ddd","SARS-CoV-2","Orig","full","null","null","3.0","2020-11-25","33431876"
"7a25","SARS-CoV-2","Orig","full","Sb23","null","3.06","2020-11-25","33149112"
"7ct5","SARS-CoV-2","Orig","full","","T-ACE2","4.0","2020-11-18","33177651"
"7cdj","SARS-CoV-2","Orig","RBD","P2C-1A3","null","3.4","2020-11-18","null"
"7cdi","SARS-CoV-2","Orig","RBD","P2C-1F11","null","2.96","2020-11-18","null"
"7kl9","SARS-CoV-2","none","full","","CTC-445.2 inhibitor","4.1","2020-11-11","33154107"
"7kkl","SARS-CoV-2","Orig","full","mNb6","null","2.85","2020-11-11","33154106"
"7kkk","SARS-CoV-2","Orig","full","Nb6","null","3.03","2020-11-11","33154106"
"7kj5","SARS-CoV-2","Orig","full","","null","3.6","2020-11-11","33432247"
"7kj4","SARS-CoV-2","Orig","full","","ACE2","3.4","2020-11-11","33432247"
"7kj3","SARS-CoV-2","Orig","full","","ACE2","3.7","2020-11-11","33432247"
"7kj2","SARS-CoV-2","Orig","full","","ACE2","3.6","2020-11-11","33432247"
"7cjf","SARS-CoV-2","Orig","RBD","P4A1","","2.11","2020-11-11","33976198"
"7kec","SARS-CoV-2","Orig","full","null","null","3.84","2020-11-04","33417835"
"7keb","SARS-CoV-2","Orig","full","null","null","3.48","2020-11-04","33417835"
"7kea","SARS-CoV-2","Orig","full","null","null","3.33","2020-11-04","33417835"
"7ke9","SARS-CoV-2","Orig","full","null","null","3.08","2020-11-04","33417835"
"7ke8","SARS-CoV-2","Orig","full","null","null","3.26","2020-11-04","33417835"
"7ke7","SARS-CoV-2","Orig","full","null","null","3.32","2020-11-04","33417835"
"7ke6","SARS-CoV-2","Orig","full","null","null","3.1","2020-11-04","33417835"
"7ke4","SARS-CoV-2","Orig","full","null","null","3.21","2020-11-04","33417835"
"7kdl","SARS-CoV-2","Orig","full","null","null","2.96","2020-11-04","33417835"
"7kdk","SARS-CoV-2","Orig","full","null","null","2.8","2020-11-04","33417835"
"7kdj","SARS-CoV-2","Orig","full","null","null","3.49","2020-11-04","33417835"
"7kdi","SARS-CoV-2","Orig","full","null","null","3.26","2020-11-04","33417835"
"7kdh","SARS-CoV-2","Orig","full","null","null","3.33","2020-11-04","33417835"
"7kdg","SARS-CoV-2","Orig","full","null","null","3.01","2020-11-04","33417835"
"7ad1","SARS-CoV-2","Orig","full","null","null","2.92","2020-11-04","33431842"
"7a4n","SARS-CoV-2","Orig","full","null","null","2.75","2020-11-04","33431842"
"7k9z","SARS-CoV-2","Orig","RBD","298/52","null","2.95","2020-10-28","34135340"
"7jn5","SARS-CoV","null","RBD","CR3022","null","2.71","2020-10-28","33275640"
"7k90","SARS-CoV-2","none","full","C144","","3.24","2020-10-21","33045718"
"7k8z","SARS-CoV-2","Orig","full","C135","null","3.5","2020-10-21","33045718"
"7k8y","SARS-CoV-2","Orig","full","C121","null","4.4","2020-10-21","33045718"
"7k8x","SARS-CoV-2","Orig","full","C121","null","3.9","2020-10-21","33045718"
"7k8w","SARS-CoV-2","Orig","full","C119","null","3.6","2020-10-21","33045718"
"7k8v","SARS-CoV-2","Orig","full","C110","null","3.8","2020-10-21","33045718"
"7k8u","SARS-CoV-2","Orig","full","C104","null","3.8","2020-10-21","33045718"
"7k8t","SARS-CoV-2","Orig","full","C002","null","3.4","2020-10-21","33045718"
"7k8s","SARS-CoV-2","Orig","full","C002","null","3.4","2020-10-21","33045718"
"7k8m","SARS-CoV-2","Orig","RBD","C102","","3.2","2020-10-21","33045718"
"7a29","SARS-CoV-2","Orig","full","Sb23","null","2.94","2020-10-21","33149112"
"7jx3","SARS-CoV-2","Orig","RBD","S309/S2H14/S304","","2.65","2020-10-14","32991844"
"7jw0","SARS-CoV-2","Orig","full","S304","null","4.3","2020-10-14","32991844"
"7jvc","SARS-CoV-2","Orig","full","S2A4","null","3.3","2020-10-14","32991844"
"7jva","SARS-CoV-2","Orig","full","S2A4","null","3.6","2020-10-14","32991844"
"7jv6","SARS-CoV-2","Orig","full","S2H13","null","3.0","2020-10-14","32991844"
"7jv4","SARS-CoV-2","Orig","full","S2H13","null","3.4","2020-10-14","32991844"
"7jv2","SARS-CoV-2","Orig","full","S2H13","null","3.5","2020-10-14","32991844"
"7jmw","SARS-CoV-2","Orig","RBD","COVA1-16","null","2.89","2020-10-14","32793906"
"6xkq","SARS-CoV-2","Orig","RBD","CV07-250","null","2.55","2020-10-14","33058755"
"6xkp","SARS-CoV-2","Orig","RBD","CV07-270","null","2.72","2020-10-14","33058755"
"7k45","SARS-CoV-2","none","full","S2E12","null","3.7","2020-10-07","32972994"
"7k43","SARS-CoV-2","Orig","full","S2M11","null","2.6","2020-10-07","32972994"
"7k4n","SARS-CoV-2","none","full","S2E12","null","3.3","2020-10-07","32972994"
"7jwb","SARS-CoV-2","Orig","full","AUTONOMOUS HUMAN HEAVY CHAIN VARIABLE DOMAIN","null","6.0","2020-10-07","33082574"
"7a92","SARS-CoV-2","Orig","RBD","","ACE2","4.2","2020-09-30","32942285"
"6zb5","SARS-CoV-2","Orig","full","null","null","2.85","2020-09-30","32958580"
"6zb4","SARS-CoV-2","Orig","full","null","null","3.03","2020-09-30","32958580"
"7jzu","SARS-CoV-2","none","full","","LCB1","3.1","2020-09-23","32907861"
"7jzn","SARS-CoV-2","none","full","","LCB3","3.1","2020-09-23","32907861"
"7jzm","SARS-CoV-2","none","full","","LCB3","3.5","2020-09-23","32907861"
"7jzl","SARS-CoV-2","none","full","","LCB1","2.7","2020-09-23","32907861"
"7cak","SARS-CoV-2","Orig","full","H014","","3.58","2020-09-23","32703908"
"7cai","SARS-CoV-2","Orig","full","H014","","3.49","2020-09-23","32703908"
"7a98","SARS-CoV-2","Orig","full","","ACE2","5.4","2020-09-23","32942285"
"6zxn","SARS-CoV-2","Orig","full","Ty1","null","2.93","2020-09-23","32887876"
"7chh","SARS-CoV-2","none","full","BD-368-2","null","3.49","2020-09-16","32970990"
"7chf","SARS-CoV-2","Orig","RBD","BD-604/BD-368-2","null","2.67","2020-09-16","32970990"
"7che","SARS-CoV-2","Orig","RBD","BD-236/BD-368-2","null","3.42","2020-09-16","32970990"
"7chc","SARS-CoV-2","Orig","RBD","BD-629/BD-368-2","null","2.71","2020-09-16","32970990"
"7chb","SARS-CoV-2","Orig","RBD","BD-236","","2.4","2020-09-16","32970990"
"7ch5","SARS-CoV-2","Orig","RBD","BD-629","null","2.7","2020-09-16","32970990"
"7ch4","SARS-CoV-2","Orig","RBD","BD-604","","3.15","2020-09-16","32970990"
"7a97","SARS-CoV-2","Orig","full","","ACE2","4.4","2020-09-16","32942285"
"7a96","SARS-CoV-2","Orig","full","","ACE2","4.8","2020-09-16","32942285"
"7a95","SARS-CoV-2","Orig","full","","ACE2","4.3","2020-09-16","32942285"
"7a94","SARS-CoV-2","Orig","full","","ACE2","3.9","2020-09-16","32942285"
"7a93","SARS-CoV-2","Orig","full","null","null","5.9","2020-09-16","32942285"
"7a91","SARS-CoV-2","Orig","RBD","","ACE2","3.6","2020-09-16","32942285"
"7a5s","SARS-CoV-2","Orig","full","CR3022","","3.9","2020-09-16","33087721"
"7a5r","SARS-CoV-2","Orig","full","CR3022","null","3.7","2020-09-16","33087721"
"7c8d","SARS-CoV-2","Orig","RBD","","","3.0","2020-09-02","33020722"
"6zh9","SARS-CoV-2","null","RBD","CR3022/H11-H4","","3.31","2020-09-02","32661423"
"6xf6","SARS-CoV-2","Orig","full","null","null","4.0","2020-09-02","32742241"
"6xf5","SARS-CoV-2","Orig","full","null","null","3.45","2020-09-02","32742241"
"7jmp","SARS-CoV-2","Orig","RBD","COVA2-39","null","1.71","2020-08-26","32743580"
"7jmo","SARS-CoV-2","Orig","RBD","COVA2-04","null","2.36","2020-08-26","32743580"
"7jjj","SARS-CoV-2","Orig","full","null","null","4.5","2020-08-26","33082295"
"7jji","SARS-CoV-2","Orig","full","null","null","3.6","2020-08-26","33082295"
"7cn9","SARS-CoV-2","Orig","full","null","null","4.7","2020-08-26","32755598"
"6x79","SARS-CoV-2","Orig","full","","null","2.9","2020-08-19","32753755"
"7cah","SARS-CoV-2","Orig","RBD","H014","","3.9","2020-08-12","32703908"
"6xm4","SARS-CoV-2","Orig","full","null","null","2.9","2020-08-12","32637958"
"6xm3","SARS-CoV-2","Orig","full","null","null","2.9","2020-08-12","32637958"
"6xm0","SARS-CoV-2","Orig","full","null","null","2.7","2020-08-12","32637958"
"6xlu","SARS-CoV-2","Orig","full","null","null","2.4","2020-08-12","32637958"
"6zwv","SARS-CoV-2","Orig","full","","null","3.5","2020-08-05","32805734"
"7c02","MERS-CoV","null","RBD","","null","2.91","2020-07-29","32645327"
"6zp7","SARS-CoV-2","Orig","full","","null","3.3","2020-07-29","33063791"
"6zp5","SARS-CoV-2","Orig","full","","null","3.1","2020-07-29","33063791"
"6zow","SARS-CoV-2","Orig","full","","null","3.0","2020-07-29","33063791"
"6zhd","SARS-CoV-2","Orig","full","H11-H4","","3.7","2020-07-29","null"
"6zdg","SARS-CoV-2","Orig","RBD","EY6A","","4.7","2020-07-29","32737466"
"6zbp","SARS-CoV-2","null","RBD","H11-D4","","1.85","2020-07-29","null"
"6xm5","SARS-CoV-2","Orig","full","","null","3.1","2020-07-29","32637958"
"6zp2","SARS-CoV-2","Orig","full","","null","3.1","2020-07-22","32737467"
"6zp1","SARS-CoV-2","Orig","full","","null","3.3","2020-07-22","32737467"
"6zp0","SARS-CoV-2","Orig","full","","null","3.0","2020-07-22","32737467"
"6zoz","SARS-CoV-2","Orig","full","","null","3.5","2020-07-22","32737467"
"6zoy","SARS-CoV-2","Orig","full","","null","3.1","2020-07-22","32737467"
"6zox","SARS-CoV-2","Orig","full","","null","3.0","2020-07-22","32737467"
"6xs6","SARS-CoV-2","Orig","full","","null","3.7","2020-07-22","32991842"
"6xra","SARS-CoV-2","Wild","full","","null","3.0","2020-07-22","32694201"
"6xr8","SARS-CoV-2","Wild","full","","null","2.9","2020-07-22","32694201"
"6xey","SARS-CoV-2","Orig","full","2-4","","3.25","2020-07-22","32698192"
"6xkl","SARS-CoV-2","none","full","","null","3.21","2020-07-15","32703906"
"6zfo","SARS-CoV-2","Orig","RBD","EY6A","","4.4","2020-07-08","32737466"
"6xc7","SARS-CoV-2","Orig","RBD","CR3022/CC12.3","","2.88","2020-07-08","32661058"
"6xc4","SARS-CoV-2","Orig","RBD","CC12.3","","2.34","2020-07-08","32661058"
"6xc3","SARS-CoV-2","Orig","RBD","CR3022/CC12.1","","2.7","2020-07-08","32661058"
"6xc2","SARS-CoV-2","Orig","RBD","CC12.1","","3.11","2020-07-08","32661058"
"7c2l","SARS-CoV-2","Orig","full","4A8","","3.1","2020-07-01","32571838"
"6zgi","SARS-CoV-2","Orig","full","","null","2.9","2020-07-01","32647346"
"6zgh","SARS-CoV-2","Orig","full","","null","6.8","2020-07-01","32647346"
"6zgg","SARS-CoV-2","Orig","full","","null","3.8","2020-07-01","32647346"
"6zgf","BatCoV RaTG13","null","full","","null","3.1","2020-07-01","32647346"
"6zge","SARS-CoV-2","Orig","full","","null","2.6","2020-07-01","32647346"
"6zdh","SARS-CoV-2","Orig","full","EY6A","","3.7","2020-07-01","32737466"
"6z97","SARS-CoV-2","Orig","full","","null","3.4","2020-07-01","32585135"
"6xe1","SARS-CoV-2","Orig","RBD","CV30","","2.75","2020-07-01","32577631"
"6xcn","SARS-CoV-2","Orig","full","C105","","3.66","2020-07-01","32645326"
"6xcm","SARS-CoV-2","Orig","full","C105","","3.42","2020-07-01","32645326"
"7can","SARS-CoV-2","Orig","RBD","MR17-K99Y","","2.94","2020-06-24","null"
"7c8w","SARS-CoV-2","Orig","RBD","MR17","","2.77","2020-06-24","null"
"7c8v","SARS-CoV-2","Orig","RBD","SR4","","2.15","2020-06-24","null"
"6zer","SARS-CoV-2","Orig","RBD","EY6A","","3.8","2020-06-24","32737466"
"6zcz","SARS-CoV-2","Orig","RBD","EY6A/nanobody","","2.65","2020-06-24","32737466"
"6xdg","SARS-CoV-2","none","RBD","REGN10933/REGN10987","","3.9","2020-06-24","32540901"
"7byr","SARS-CoV-2","Orig","full","Ab23","","3.84","2020-06-10","32425270"
"6x6p","SARS-CoV-2","Orig","full","","null","3.22","2020-06-10","32587972"
"7bwj","SARS-CoV-2","Orig","RBD","P2B-2F6","","2.85","2020-06-03","32454513"
"6z43","SARS-CoV-2","Orig","full","H11-D4","","3.3","2020-06-03","null"
"6z2m","SARS-CoV-2","Orig","RBD","CR3022/D4","","2.71","2020-06-03","null"
"6yz7","SARS-CoV-2","null","RBD","CR3022/H11-D4","","3.3","2020-06-03","null"
"6yz5","SARS-CoV-2","Orig","RBD","H11-D4","","1.8","2020-06-03","null"
"6m3w","SARS-CoV","null","fusion peptide","","null","3.9","2020-06-03","32681106"
"7c01","SARS-CoV-2","Orig","RBD","CB6","","2.88","2020-05-27","32454512"
"6x29","SARS-CoV-2","Orig","full","","null","2.7","2020-05-27","32699321"
"6x2c","SARS-CoV-2","none","full","","null","3.2","2020-05-27","32699321"
"6x2b","SARS-CoV-2","none","full","","null","3.6","2020-05-27","32699321"
"6x2a","SARS-CoV-2","none","full","","null","3.3","2020-05-27","32699321"
"6wpt","SARS-CoV-2","Orig","full","S309","","3.7","2020-05-27","32422645"
"6wps","SARS-CoV-2","Orig","full","S309","","3.1","2020-05-27","32422645"
"7bz5","SARS-CoV-2","Orig","RBD","B38","","1.84","2020-05-13","32404477"
"6yor","SARS-CoV-2","Orig","RBD","CR3022","","3.3","2020-04-29","32585135"
"6ym0","SARS-CoV-2","Orig","RBD","CR3022","","4.36","2020-04-29","32585135"
"6yla","SARS-CoV-2","Orig","RBD","CR3022","","2.42","2020-04-15","32585135"
"6war","MERS-CoV","null","RBD","VHH-55","","3.4","2020-04-08","32375025"
"6waq","SARS-CoV","null","RBD","VHH-72","","2.2","2020-04-01","32375025"
"6w41","SARS-CoV-2","Orig","RBD","CR3022","","3.08","2020-03-25","32245784"
"6m0j","SARS-CoV-2","Orig","RBD","","ACE2","2.45","2020-03-18","32225176"
"6lzg","SARS-CoV-2","Orig","RBD","","ACE2","2.5","2020-03-18","32275855"
"6vyb","SARS-CoV-2","Wild","full","","null","3.2","2020-03-11","32155444"
"6vxx","SARS-CoV-2","Wild","full","","null","2.8","2020-03-11","32155444"
"6m17","SARS-CoV-2","Orig","RBD","","ACE2, B0AT1","2.9","2020-03-11","32132184"
"6vsb","SARS-CoV-2","Wild","full","","null","3.46","2020-02-26","32075877"
"6lxt","SARS-CoV-2","none","HR","","null","2.9","2020-02-26","32231345"
"6lvn","SARS-CoV-2","Omicron BA.2","HR","","null","2.47","2020-02-26","null"
"6q07","MERS-CoV","null","full","","null","2.9","2019-12-11","31792450"
"6q06","MERS-CoV","null","full","","null","2.7","2019-12-11","31792450"
"6q05","MERS-CoV","null","full","","null","2.8","2019-12-11","31792450"
"6q04","MERS-CoV","null","full","","null","2.5","2019-12-11","31792450"
"6l8q","MERS-CoV","null","RBD","","bat DPP4","3.1","2019-12-04","31776269"
"6pz8","MERS-CoV","null","full","G2","","4.19","2019-10-09","31553909"
"6pxh","MERS-CoV","null","NTD","G2","","2.3","2019-09-25","31553909"
"6j11","MERS-CoV","null","NTD","7D10","","3.0","2019-07-24","31296843"
"5zvm","SARS-CoV","null","HR","","EK1","3.3","2019-04-10","30989115"
"5zvk","MERS-CoV","null","HR","","EK1","3.31","2019-04-10","30989115"
"6nb7","SARS-CoV","null","full","S230","","4.5","2019-02-06","30712865"
"6nb6","SARS-CoV","null","full","S230","","4.2","2019-02-06","30712865"
"6nb4","MERS-CoV","null","full","LCA60","","3.6","2019-02-06","30712865"
"6nb3","MERS-CoV","null","full","LCA60","","3.5","2019-02-06","30712865"
"6ack","SARS-CoV","null","full","","ACE2","4.5","2018-08-08","30102747"
"6acj","SARS-CoV","null","full","","ACE2","4.2","2018-08-08","30102747"
"6acg","SARS-CoV","null","full","","ACE2","5.4","2018-08-08","30102747"
"6acd","SARS-CoV","null","full","","null","3.9","2018-08-08","30102747"
"6acc","SARS-CoV","null","full","","null","3.6","2018-08-08","30102747"
"5yy5","MERS-CoV","null","RBD","MERS-4V2","","2.8","2018-08-01","29996104"
"5zxv","MERS-CoV","null","RBD","MERS-4","","4.48","2018-07-25","29996104"
"6cs2","SARS-CoV","null","full","","ACE2","4.4","2018-04-11","30356097"
"6cs1","SARS-CoV","null","full","","null","4.6","2018-04-11","30356097"
"6cs0","SARS-CoV","null","full","","null","3.8","2018-04-11","30356097"
"6crz","SARS-CoV","null","full","","null","3.3","2018-04-11","30356097"
"6crx","SARS-CoV","null","full","","null","3.9","2018-04-11","30356097"
"6crw","SARS-CoV","null","full","","null","3.9","2018-04-11","30356097"
"6crv","SARS-CoV","null","full","","null","3.2","2018-04-11","30356097"
"6c6y","MERS-CoV","null","RBD","JC57-14","","3.32","2018-03-07","29514901"
"6c6z","MERS-CoV","null","RBD","CDC2-C2","","2.1","2018-01-31","29514901"
"5xjk","SARS-CoV","null","fusion peptide","","null","null","2017-09-06","28988778"
"5vyh","MERS-CoV","null","NTD","","null","2.0","2017-08-30","28807998"
"5w9p","MERS-CoV","null","full","G4","","4.0","2017-08-16","28807998"
"5w9o","MERS-CoV","null","full","G4","","4.5","2017-08-16","28807998"
"5w9n","MERS-CoV","null","full","G4","","5.0","2017-08-16","28807998"
"5w9m","MERS-CoV","null","full","G4","","4.7","2017-08-16","28807998"
"5w9l","MERS-CoV","null","full","G4","","4.8","2017-08-16","28807998"
"5w9k","MERS-CoV","null","full","G4","","4.6","2017-08-16","28807998"
"5w9j","MERS-CoV","null","full","G4","","4.8","2017-08-16","28807998"
"5w9i","MERS-CoV","null","full","G4","","3.6","2017-08-16","28807998"
"5w9h","MERS-CoV","null","full","G4","","4.0","2017-08-16","28807998"
"5xlr","SARS-CoV","null","full","","null","3.8","2017-06-07","28008928"
"5gmq","MERS-CoV","null","RBD","MCA1","","2.7","2017-05-31","28472421"
"5x59","MERS-CoV","null","full","","null","3.7","2017-05-03","28393837"
"5x58","SARS-CoV","null","full","","null","3.2","2017-05-03","28393837"
"5x5f","MERS-CoV","null","full","","null","4.2","2017-05-03","28393837"
"5x5c","MERS-CoV","null","full","","null","4.1","2017-05-03","28393837"
"5x5b","SARS-CoV","null","full","","null","3.7","2017-05-03","28393837"
"5x4s","SARS-CoV","null","NTD","","null","2.2","2017-05-03","28393837"
"5x4r","MERS-CoV","null","NTD","","null","1.5","2017-05-03","28393837"
"5wrg","SARS-CoV","null","full","","null","4.3","2017-01-11","28008928"
"4zpv","MERS-CoV","null","RBD","D12","","3.2","2015-10-21","26218507"
"4zpt","MERS-CoV","null","RBD","D12","","2.59","2015-10-21","26218507"
"5do2","MERS-CoV","null","RBD","4C2","","2.41","2015-10-14","26391698"
"4zs6","MERS-CoV","null","RBD","MERS-27","","3.17","2015-09-02","26281793"
"4xak","MERS-CoV","null","RBD","m336","","2.45","2015-08-26","26370782"
"4zpw","MERS-CoV","null","RBD","","null","3.02","2015-08-12","26218507"
"2ruo","SARS-CoV","null","fusion peptide","","null","null","2014-11-26","null"
"2run","SARS-CoV","null","TM","","null","null","2014-11-26","null"
"4mod","MERS-CoV","null","HR","","null","1.9","2013-10-09","24067982"
"4l72","MERS-CoV","null","RBD","","DPP4","3.0","2013-08-21","23835475"
"4l3n","MERS-CoV","null","RBD","","null","2.13","2013-07-31","23903833"
"4kr0","MERS-CoV","null","RBD","","DPP4","2.7","2013-07-10","23831647"
"4kqz","MERS-CoV","null","RBD","","null","2.51","2013-07-10","23831647"
"3scl","SARS-CoV","null","RBD","","human-civet chimeric ACE2","3.0","2012-02-08","22291007"
"3sck","SARS-CoV","null","RBD","","human-civet chimeric ACE2","3.0","2012-02-08","22291007"
"3scj","SARS-CoV","null","RBD","","hACE2","3.0","2012-02-08","22291007"
"3sci","SARS-CoV","null","RBD","","hACE2","2.9","2012-02-08","22291007"
"3bgf","SARS-CoV","null","RBD","F26G19","","3.0","2008-12-02","19324051"
"3d0i","SARS-CoV","null","RBD","","human-civet chimeric ACE2","2.9","2008-07-08","18448527"
"3d0h","SARS-CoV","null","RBD","","human-civet chimeric ACE2","3.1","2008-07-08","18448527"
"3d0g","SARS-CoV","null","RBD","","human-civet chimeric ACE2","2.8","2008-07-08","18448527"
"2ghw","SARS-CoV","null","RBD","80R","","2.3","2006-09-19","16954221"
"2ghv","SARS-CoV","null","RBD","","null","2.2","2006-09-19","16954221"
"1zvb","SARS-CoV","null","HR","","null","1.7","2006-05-16","16698550"
"1zv8","SARS-CoV","null","HR","","null","1.94","2006-05-16","16698550"
"1zv7","SARS-CoV","null","HR","","null","1.7","2006-05-16","16698550"
"2dd8","SARS-CoV","null","RBD","m396","","2.3","2006-04-04","16597622"
"2fxp","SARS-CoV","null","HR","","null","null","2006-03-07","16507566"
"2ajf","SARS-CoV","null","RBD","","ACE2","2.9","2005-09-20","16166518"
"1wyy","SARS-CoV","null","HR","null","null","2.2","2005-05-17","15840526"
"2bez","SARS-CoV","null","HR","","null","1.6","2004-12-22","15604146"
"2beq","SARS-CoV","null","HR","","null","1.6","2004-12-22","15604146"
"1wnc","SARS-CoV","null","HR","null","null","2.8","2004-09-07","15345712"
"7sb3","HCoV-OC43","null","full","Fab1","null","3.3","2022-05-04","null"
"7sb4","HCoV-OC43","null","full","Fab2","null","4.7","2022-05-04","null"
"7sb5","HCoV-OC43","null","full","Fab3","null","4.2","2022-05-04","null"
"7sbv","HCoV-OC43","null","full","Fab4","null","3.1","2022-05-04","null"
"7sbw","HCoV-OC43","null","full","Fab5","null","3.2","2022-05-04","null"
"7sbx","HCoV-OC43","null","full","Fab6","null","3.0","2022-05-04","null"
"7sby","HCoV-OC43","null","full","Fab7","null","3.0","2022-05-04","null"
"8y19","HCoV-HKU1","null","full","null","null","2.3","2024-05-01","null"
"8y1a","HCoV-HKU1","null","full","null","null","2.8","2024-05-01","null"
"8y1b","HCoV-HKU1","null","full","null","null","2.8","2024-05-01","null"
"8y1c","HCoV-HKU1","null","full","null","null","2.8","2024-05-01","null"
"8y1d","HCoV-HKU1","null","full","null","TMPRSS2","2.7","2024-05-01","null"
"8y1e","HCoV-HKU1","null","full","null","TMPRSS2","2.7","2024-05-01","null"
"8y1f","HCoV-HKU1","null","full","null","null","2.8","2024-05-01","null"
"8y1g","HCoV-HKU1","null","full","null","null","2.8","2024-05-01","null"
"8y1h","HCoV-HKU1","null","full","null","null","3.16","2024-05-01","null"
"8y7x","HCoV-HKU1","null","full","null","TMPRSS2","3.09","2024-07-17","null"
"8y7y","HCoV-HKU1","null","full","null","TMPRSS2","3.23","2024-07-17","null"
"8y87","HCoV-HKU1","null","full","null","TMPRSS2","3.26","2024-07-17","null"
"8y88","HCoV-HKU1","null","full","null","TMPRSS2","3.03","2024-07-17","null"
"8y89","HCoV-HKU1","null","full","null","TMPRSS2","3.32","2024-07-17","null"
"8y8a","HCoV-HKU1","null","full","null","TMPRSS2","3.19","2024-07-17","null"
"8y8c","HCoV-HKU1","null","full","null","null","2.95","2024-07-17","null"
"8y8d","HCoV-HKU1","null","full","null","null","3.41","2024-07-17","null"
"8y8e","HCoV-HKU1","null","full","null","null","3.07","2024-07-17","null"
"8y8f","HCoV-HKU1","null","full","null","null","3.62","2024-07-17","null"
"8y8g","HCoV-HKU1","null","full","null","null","3.23","2024-07-17","null"
"8y8h","HCoV-HKU1","null","full","null","null","3.65","2024-07-17","null"
"8y8i","HCoV-HKU1","null","full","null","null","3.58","2024-07-17","null"
"8y8j","HCoV-HKU1","null","A,B","null","null","3.57","2024-07-17","null"
"9bsw","HCoV-HKU1","null","full","null","null","2.06","2025-05-14","null"
"9bsx","HCoV-HKU1","null","full","null","9AcGD3","2.37","2025-05-14","null"
"9bsy","HCoV-HKU1","null","full","null","9AcGD3","2.57","2025-05-14","null"
"9bsz","HCoV-HKU1","null","full","null","9AcGD3","2.49","2025-05-14","null"
"9bt0","HCoV-HKU1","null","full","null","null","2.23","2025-05-14","null"
"9bt1","HCoV-HKU1","null","full","null","A1AR1","2.43","2025-05-14","null"
"9bt2","HCoV-HKU1","null","A","null","null","1.93","2025-05-14","null"
"9bta","HCoV-HKU1","null","A","null","9AcGD3","2.39","2025-05-14","null"
"9btb","HCoV-HKU1","null","A","null","9AcGD3","2.33","2025-05-14","null"
"9btc","HCoV-HKU1","null","A","null","9AcGD3","2.41","2025-05-14","null"
"9btd","HCoV-HKU1","null","full","null","9AcGD3","2.43","2025-05-14","null"
"9n12","HCoV-HKU1","null","full","null","9AcGD3","3.18","2025-05-14","null"
"9n14","HCoV-HKU1","null","full","null","9AcGD3","2.43","2025-05-14","null"
"9n16","HCoV-HKU1","null","full","null","null","3.01","2025-05-14","null"
"8sak","BtCoV-422","null","full","JC57-11","null","3.0","2023-10-04","null"
"9d32","BatCoV HKU5","null","RBD","null","bat ACE2","3.10","2025-02-19","null"
"9e0i","BatCoV HKU5-19","null","RBD","null","bovine ACE2","2.40","2025-02-19","null"
